defense,target_fpr,qid,final_score,detector_calls,evaded
D1b_3feat_trained,0.05,936,0.4252643027142695,17,True
D1b_3feat_trained,0.05,1336,0.41167930838658634,41,True
D1b_3feat_trained,0.05,882,0.45147015871381424,33,True
D1b_3feat_trained,0.05,1146,0.48054523260040005,17,True
D1b_3feat_trained,0.05,421,0.4311170438709691,25,True
D1b_3feat_trained,0.05,784,0.25779130213367446,115,True
D1b_3feat_trained,0.05,216,0.24315807636150794,112,True
D1b_3feat_trained,0.05,1368,0.4427187561288746,25,True
D1b_3feat_trained,0.05,185,0.2563022574156474,129,True
D1b_3feat_trained,0.05,975,0.4279680313453986,25,True
D1b_3feat_trained,0.05,1014,0.42280051526770124,17,True
D1b_3feat_trained,0.05,808,0.4337050809312799,25,True
D1b_3feat_trained,0.05,770,0.2538067873715815,111,True
D1b_3feat_trained,0.05,598,0.28178966652766957,114,True
D1b_3feat_trained,0.05,660,0.4322463618822191,33,True
D1b_3feat_trained,0.05,350,0.4397990397141212,17,True
D1b_3feat_trained,0.05,693,0.46020403210400623,25,True
D1b_3feat_trained,0.05,132,0.39172851960786625,65,True
D1b_3feat_trained,0.05,127,0.4168267842143099,17,True
D1b_3feat_trained,0.05,410,0.45300095687736625,25,True
D1b_3feat_trained,0.05,232,0.2917124661134659,119,True
D1b_3feat_trained,0.05,219,0.40846171488963967,33,True
D1b_3feat_trained,0.05,217,0.3952686576863229,17,True
D1b_3feat_trained,0.05,115,0.29974933816566013,140,True
D1b_3feat_trained,0.05,324,0.42989204328547087,33,True
D1b_3feat_trained,0.05,619,0.27153931103239975,123,True
D1b_3feat_trained,0.05,1199,0.41218176860646505,25,True
D1b_3feat_trained,0.05,1319,0.4008085622149306,17,True
D1b_3feat_trained,0.05,236,0.24193625338262462,117,True
D1b_3feat_trained,0.05,873,0.44522673726982903,17,True
D1b_3feat_trained,0.05,113,0.29678694414835055,110,True
D1b_3feat_trained,0.05,279,0.4554482074223396,17,True
D1b_3feat_trained,0.05,729,0.4418772683153331,9,True
D1b_3feat_trained,0.05,759,0.2679831583153082,133,True
D1b_3feat_trained,0.05,1163,0.28335945495543924,149,True
D1b_3feat_trained,0.05,72,0.44009644239130746,57,True
D1b_3feat_trained,0.05,1099,0.43629448762688916,17,True
D1b_3feat_trained,0.05,1274,0.27430931657056185,119,True
D1b_3feat_trained,0.05,1241,0.4224286326357913,25,True
D1b_3feat_trained,0.05,1107,0.4230273880903137,73,True
D1b_3feat_trained,0.05,985,0.4066411468709547,17,True
D1b_3feat_trained,0.05,70,0.38449358435597863,57,True
D1b_3feat_trained,0.05,1179,0.42537605157922825,41,True
D1b_3feat_trained,0.05,57,0.24917503282842637,127,True
D1b_3feat_trained,0.05,1086,0.2861428437279311,107,True
D1b_3feat_trained,0.05,832,0.40588601567430854,49,True
D1b_3feat_trained,0.05,507,0.26268034283546676,113,True
D1b_3feat_trained,0.05,118,0.45183582085512114,17,True
D1b_3feat_trained,0.05,514,0.2800208405606505,115,True
D1b_3feat_trained,0.05,1104,0.28197974218760374,125,True
D1b_3feat_trained,0.05,452,0.4284220382521628,17,True
D2_embed_probe,0.001,238,0.06410648979436602,9,True
D2_embed_probe,0.001,775,0.005070582217276585,9,True
D2_embed_probe,0.001,1137,0.009677243634186919,9,True
D2_embed_probe,0.001,715,0.021951924641536728,9,True
D2_embed_probe,0.001,993,0.01425164013539364,9,True
D2_embed_probe,0.001,1352,0.014287553080839926,9,True
D2_embed_probe,0.001,1021,0.005909713315477478,9,True
D2_embed_probe,0.001,636,0.006473171836113199,9,True
D2_embed_probe,0.001,1337,0.013571386114977376,9,True
D2_embed_probe,0.001,936,0.020137504645693857,9,True
D2_embed_probe,0.001,1336,0.004422576607048013,9,True
D2_embed_probe,0.001,882,0.09045881822989273,9,True
D2_embed_probe,0.001,1146,0.014700388295549623,9,True
D2_embed_probe,0.001,421,0.00914673875800419,9,True
D2_embed_probe,0.001,784,0.00732222313395662,9,True
D2_embed_probe,0.001,216,0.011211516925404072,9,True
D2_embed_probe,0.001,1368,0.011466739059730535,9,True
D2_embed_probe,0.001,185,0.009597075479429519,9,True
D2_embed_probe,0.001,975,0.021141471889715713,9,True
D2_embed_probe,0.001,1014,0.006872389276701377,9,True
D2_embed_probe,0.001,808,0.38801679796116706,25,False
D2_embed_probe,0.001,770,0.012011195302348392,9,True
D2_embed_probe,0.001,598,0.008179306028863102,9,True
D2_embed_probe,0.001,660,0.04995481593899583,9,True
D2_embed_probe,0.001,350,0.0391507300935082,9,True
D2_embed_probe,0.001,693,0.06010334211884602,9,True
D2_embed_probe,0.001,132,0.04428285600149784,9,True
D2_embed_probe,0.001,127,0.008750600136029843,9,True
D2_embed_probe,0.001,410,0.009634826318494652,9,True
D2_embed_probe,0.001,232,0.024355729386130443,9,True
D2_embed_probe,0.001,219,0.00927897723776116,9,True
D2_embed_probe,0.001,217,0.008304759468392212,9,True
D2_embed_probe,0.001,115,0.11783867879556367,9,True
D2_embed_probe,0.001,324,0.10799386127062145,25,True
D2_embed_probe,0.001,619,0.003825907062359865,9,True
D2_embed_probe,0.001,1199,0.06252135517204213,9,True
D2_embed_probe,0.001,1319,0.005839061764006164,9,True
D2_embed_probe,0.001,236,0.059117737904857574,9,True
D2_embed_probe,0.001,873,0.021016744770306107,9,True
D2_embed_probe,0.001,113,0.012479544923888617,9,True
D2_embed_probe,0.001,279,0.04283916951246552,9,True
D2_embed_probe,0.001,729,0.025262024861436264,9,True
D2_embed_probe,0.001,759,0.014749232711695185,9,True
D2_embed_probe,0.001,1163,0.02405252008126316,9,True
D2_embed_probe,0.001,72,0.06295502555135311,9,True
D2_embed_probe,0.001,1099,0.03183468151600452,9,True
D2_embed_probe,0.001,1274,0.09067346936703588,17,True
D2_embed_probe,0.001,1241,0.01782334170907079,9,True
D2_embed_probe,0.001,1107,0.09096021524543052,9,True
D2_embed_probe,0.001,985,0.04483043693850373,9,True
D2_embed_probe,0.001,70,0.007490562111689754,9,True
D2_embed_probe,0.001,1179,0.08888933471153845,9,True
D2_embed_probe,0.001,57,0.007236852962185429,9,True
D2_embed_probe,0.001,1086,0.029750419819871272,9,True
D2_embed_probe,0.001,832,0.018928016139353816,9,True
D2_embed_probe,0.001,507,0.025855417634028238,9,True
D2_embed_probe,0.001,118,0.14168636726946743,17,True
D2_embed_probe,0.001,514,0.013197409444933922,9,True
